DP;Departamento;MPIO;Municipio;Superficie;PopTot;Rural;Region
05;Antioquia;05591;Puerto triunfo;359,05;19688;77,9;Región Eje Cafetero
05;Antioquia;05604;Remedios;1876,27;30723;53,1;Región Eje Cafetero
05;Antioquia;05607;Retiro;227,59;25589;41,7;Región Eje Cafetero
05;Antioquia;05615;Rionegro;209,33;147907;34;Región Eje Cafetero
05;Antioquia;05628;Sabanalarga;292,29;9731;61;Región Eje Cafetero
05;Antioquia;05631;Sabaneta;16,24;90253;11;Región Eje Cafetero
05;Antioquia;05642;Salgar;289,48;19448;56,9;Región Eje Cafetero
05;Antioquia;05647;San andrés de cuerquía;225,53;7697;54,1;Región Eje Cafetero
05;Antioquia;05649;San carlos;688,34;17103;50;Región Eje Cafetero
05;Antioquia;05652;San francisco;333,71;6048;50,4;Región Eje Cafetero
05;Antioquia;05656;San jerónimo;175,24;16609;50,9;Región Eje Cafetero
05;Antioquia;05658;San josé de la montaña;132,6;3941;32,3;Región Eje Cafetero
05;Antioquia;05659;San juan de urabá;261,53;21853;61,3;Región Eje Cafetero
05;Antioquia;05660;San luis;409,36;13893;36,5;Región Eje Cafetero
05;Antioquia;05664;San pedro;229,47;23751;39,9;Región Eje Cafetero
05;Antioquia;05665;San pedro de uraba;569;33393;52,8;Región Eje Cafetero
05;Antioquia;05667;San rafael;332,66;16753;45;Región Eje Cafetero
05;Antioquia;05670;San roque;427,35;23105;63,2;Región Eje Cafetero
05;Antioquia;05674;San vicente;240,11;23714;68,4;Región Eje Cafetero
05;Antioquia;05679;Santa bárbara;211,2;28051;48,9;Región Eje Cafetero
05;Antioquia;05686;Santa rosa de osos;938,54;39340;39,6;Región Eje Cafetero
05;Antioquia;05690;Santo domingo;248,73;13163;71,9;Región Eje Cafetero
05;Antioquia;05697;El santuario;75,79;38386;25,3;Región Eje Cafetero
05;Antioquia;05736;Segovia;1106,18;41222;16,3;Región Eje Cafetero
05;Antioquia;05756;Sonsón;1474,65;38784;47,6;Región Eje Cafetero
05;Antioquia;05761;Sopetrán;210,6;16200;51,4;Región Eje Cafetero
05;Antioquia;05789;Támesis;255,87;17270;49,2;Región Eje Cafetero
05;Antioquia;05790;Tarazá;1047,14;29306;47,6;Región Eje Cafetero
05;Antioquia;05792;Tarso;127,24;6593;40,3;Región Eje Cafetero
05;Antioquia;05809;Titiribí;143,99;11457;50;Región Eje Cafetero
05;Antioquia;05819;Toledo;111,73;5296;60,1;Región Eje Cafetero
05;Antioquia;05837;Turbo;2712,66;135464;55,4;Región Eje Cafetero
05;Antioquia;05842;Uramita;262,73;7329;63,3;Región Eje Cafetero
05;Antioquia;05847;Urrao;2390,4;32366;41,8;Región Eje Cafetero
05;Antioquia;05854;Valdivia;514,72;14823;67,3;Región Eje Cafetero
05;Antioquia;05856;Valparaíso;124,85;6966;38,3;Región Eje Cafetero
05;Antioquia;05858;Vegachí;509,48;12644;26,4;Región Eje Cafetero
05;Antioquia;05861;Venecia;130,15;12407;50,3;Región Eje Cafetero
05;Antioquia;05873;Vigía del fuerte;1511,33;9827;60,4;Región Eje Cafetero
05;Antioquia;05885;Yalí;475,23;8152;47,6;Región Eje Cafetero
05;Antioquia;05887;Yarumal;757,69;44770;25,5;Región Eje Cafetero
05;Antioquia;05890;Yolombó;1070,56;24178;64,9;Región Eje Cafetero
05;Antioquia;05893;Yondó;1985,59;20870;44,1;Región Eje Cafetero
05;Antioquia;05895;Zaragoza;1277,44;26392;49,1;Región Eje Cafetero
08;Atlántico;08001;Barranquilla;161,87;1342818;0;Región Caribe
08;Atlántico;08078;Baranoa;118,31;70200;16,7;Región Caribe
08;Atlántico;08137;Campo de la cruz;92,27;25218;13,5;Región Caribe
08;Atlántico;08141;Candelaria;147,65;17839;27,9;Región Caribe
08;Atlántico;08296;Galapa;90,8;69022;7,1;Región Caribe
08;Atlántico;08372;Juan de acosta;162,34;23730;36,7;Región Caribe
08;Atlántico;08421;Luruaco;204,35;31388;48,6;Región Caribe
08;Atlántico;08433;Malambo;103,44;144883;6,7;Región Caribe
08;Atlántico;08436;Manatí;194,06;22014;12,1;Región Caribe
08;Atlántico;08520;Palmar de varela;90,93;32573;3,9;Región Caribe
08;Atlántico;08549;Piojó;240,4;7374;56,5;Región Caribe
08;Atlántico;08558;Polonuevo;79,58;20317;16,6;Región Caribe
08;Atlántico;08560;Ponedera;194,76;26872;42,3;Región Caribe
08;Atlántico;08573;Puerto colombia;73,71;55835;12,3;Región Caribe
08;Atlántico;08606;Repelón;335,85;29193;32,3;Región Caribe
08;Atlántico;08634;Sabanagrande;43,52;36547;4,6;Región Caribe
08;Atlántico;08638;Sabanalarga;429,82;104983;24,9;Región Caribe
08;Atlántico;08675;Santa lucía;55,15;18054;14,1;Región Caribe
08;Atlántico;08685;Santo tomás;66,13;33555;5,5;Región Caribe
08;Atlántico;08758;Soledad;59,36;686339;0,1;Región Caribe
08;Atlántico;08770;Suan;41,27;13274;6,4;Región Caribe
08;Atlántico;08832;Tubará;199,28;19362;49,2;Región Caribe
08;Atlántico;08849;Usiacurí;96,9;13779;6,6;Región Caribe
11;Bogotá d c;11001;Bogotá d c;1766,44;7937898;0,4;Región Centro Oriente
13;Bolívar;13001;Cartagena;580,09;1065881;11,7;Región Caribe
13;Bolívar;13006;Achí;999,98;27510;80,1;Región Caribe
13;Bolívar;13030;Altos del rosario;299,21;12279;66,7;Región Caribe
13;Bolívar;13042;Arenal;486,87;8051;41,3;Región Caribe
13;Bolívar;13052;Arjona;630,89;76455;22,8;Región Caribe
13;Bolívar;13062;Arroyohondo;148,27;8872;45,5;Región Caribe
13;Bolívar;13074;Barranco de loba;457,38;16421;63,3;Región Caribe
13;Bolívar;13140;Calamar;236,25;24982;44,9;Región Caribe
13;Bolívar;13160;Cantagallo;900,62;9148;46,8;Región Caribe
13;Bolívar;13188;Cicuco;120,75;14845;37,1;Región Caribe
13;Bolívar;13212;Córdoba;612,77;17685;78,9;Región Caribe
13;Bolívar;13222;Clemencia;89,21;16365;17,4;Región Caribe
13;Bolívar;13244;El carmen de bolívar;922,82;77061;28,6;Región Caribe
13;Bolívar;13248;El guamo;376,86;9549;48,4;Región Caribe
13;Bolívar;13268;El peñón;302,92;8209;65,3;Región Caribe
13;Bolívar;13300;Hatillo de loba;206,59;13353;77,5;Región Caribe
13;Bolívar;13430;Magangué;1242,53;147190;32,8;Región Caribe
13;Bolívar;13433;Mahates;469,06;30573;66,6;Región Caribe
13;Bolívar;13440;Margarita;322,58;11883;86,7;Región Caribe
13;Bolívar;13442;María la baja;511,98;51264;58,4;Región Caribe
13;Bolívar;13458;Montecristo;1949,35;18500;79;Región Caribe
13;Bolívar;13468;Mompós;613,81;49152;51,5;Región Caribe
13;Bolívar;13473;Morales;1409,13;24959;70,1;Región Caribe
13;Bolívar;13549;Pinillos;814,53;26866;87,5;Región Caribe
13;Bolívar;13580;Regidor;200,59;7634;38,8;Región Caribe
13;Bolívar;13600;Río viejo;920,58;11617;52,8;Región Caribe
13;Bolívar;13620;San cristóbal;42,05;8798;24,4;Región Caribe
13;Bolívar;13647;San estanislao;228,38;20100;34,7;Región Caribe
13;Bolívar;13650;San fernando;321,11;13934;86,1;Región Caribe
13;Bolívar;13654;San jacinto;414,75;26099;14,7;Región Caribe
13;Bolívar;13655;San jacinto del cauca;614,7;11175;77,3;Región Caribe
13;Bolívar;13657;San juan nepomuceno;608,15;40621;27,3;Región Caribe
13;Bolívar;13667;San martín de loba;481,97;16176;53,2;Región Caribe
